연도,사망자 수,해당연도 사망자 중 화장자 수,화장률,1일 평균 화장자 수,화장시설 수 총계,화장로 수 총계
2001,243813,93493,38.3%,256,,
2002,247524,105103,42.5%,288,,
2003,246463,113999,46.3%,312,,
2004,246220,120091,48.8%,328,,
2005,245874,128251,52.2%,351,,
2006,244162,136854,56.1%,375,,
2007,246482,144255,58.5%,395,,
2008,246113,152420,61.9%,416,,
2009,246942,160433,65.0%,440,,
2010,255405,172276,67.5%,472,,
2011,257396,182946,71.1%,501,,
2012,267221,197717,74.0%,540,,
2013,266257,204750,76.9%,561,55,314
2014,267692,212083,79.2%,581,55,316
2015,275895,222895,80.8%,611,57,330
2016,280827,232128,82.7%,634,58,339
2017,285534,241665,84.6%,662,59,347
2018,298820,259347,86.8%,711,59,347
2019,295110,260920,88.4%,715,60,358
2020,304948,274269,89.9%,749,60,359
2021,317680,288562,90.8%,791,62,378
2022,372939,342128,91.7%,937,62,383
2023,352511,327374,92.9%,897,62,388
2024,358569,336937,94.0%,921,62,400
