facility_name,sido,sigungu,corpse_inside,corpse_outside,fee_unit,note
서울시립승화원,서울,본청,120000,1000000,원,
서울추모공원,서울,본청,120000,1000000,원,
부산영락공원,부산,본청,120000,480000,원,
대구명복공원,대구,본청,180000,1000000,원,
인천가족공원,인천,본청,160000,1000000,원,
광주영락공원,광주,본청,90000,900000,원,
대전시정수원,대전,본청,90000,570000,원,
울산하늘공원,울산,본청,140000,800000,원,
세종시은하수공원,세종,본청,160000,1000000,원,
수원시연화장,경기,수원시,150000,1000000,원,
성남시장례문화사업소,경기,성남시,50000,1000000,원,
용인평온의숲,경기,용인시,100000,900000,원,
화성 함백산추모공원,경기,화성시,160000,1000000,원,
춘천안식원,강원,춘천시,70000,700000,원,
원주추모공원 화장장,강원,원주시,100000,700000,원,
솔향하늘길,강원,강릉시,150000,700000,원,
동해삼척 공동화장장,강원,동해시,100000,600000,원,
태백시화장장,강원,태백시,100000,700000,원,
속초시승화원,강원,속초시,100000,700000,원,
정선하늘터,강원,정선군,100000,700000,원,
인제 하늘내린도리안,강원,인제군,70000,700000,원,
청주시목련공원,충북,청주시,100000,500000,원,
충주시공설화장장 하늘나라,충북,충주시,100000,1000000,원,
제천시영원한쉼터,충북,제천시,50000,1000000,원,
천안추모공원,충남,천안시,100000,800000,원,
공주나래원,충남,공주시,100000,1000000,원,
홍성추모공원,충남,홍성군,500000,1000000,원,
전주승화원,전북,전주시,140000,600000,원,
군산시 승화원,전북,군산시,60000,500000,원,
익산시공설화장장정수원,전북,익산시,60000,500000,원,
서남권추모공원,전북,정읍시,70000,500000,원,
남원시 승화원,전북,남원시,60000,600000,원,
목포추모공원,전남,목포시,90000,550000,원,
여수시승화원,전남,여수시,60000,400000,원,
순천시립추모공원,전남,순천시,58000,405000,원,
광양시화장장,전남,광양시,100000,530000,원,
(재)청계원(사설),전남,곡성군,,,원,개장유골 전용
국립소록도병원 화장장,전남,고흥군,,,원,미운영
남도광역추모공원,전남,해남군,70000,500000,원,
포항시립구룡포 화장장,경북,포항시,40000,320000,원,
포항시립우현화장장,경북,포항시,50000,400000,원,
경주하늘마루,경북,경주시,150000,1000000,원,
김천시립추모공원,경북,김천시,150000,800000,원,
안동장사문화공원,경북,안동시,150000,900000,원,
구미시추모공원,경북,구미시,100000,600000,원,
영주시화장장,경북,영주시,50000,400000,원,
상주시승천원,경북,상주시,100000,500000,원,
문경예송원,경북,문경시,50000,600000,원,
의성군공설화장장,경북,의성군,100000,600000,원,
울진군립추모원,경북,울진군,100000,400000,원,
울릉하늘섬공원,경북,울릉군,30000,60000,원,
창원시립상복공원,경남,창원시,70000,500000,원,
창원시립마산화장장,경남,창원시,70000,500000,원,
진주시 안락공원,경남,진주시,70000,352000,원,
통영시추모공원,경남,통영시,100000,800000,원,
사천시 누리원,경남,사천시,70000,500000,원,
김해추모의공원,경남,김해시,100000,500000,원,
밀양시공설화장시설,경남,밀양시,80000,520000,원,
함안하늘공원,경남,함안군,80000,500000,원,
고성군공설화장장,경남,고성군,50000,400000,원,
남해추모누리 영호원,경남,남해군,60000,500000,원,
제주특별자치도 양지공원,제주,본청,50000,120000,원,
