시도,시군구,시설명,주소,전화번호,팩스번호,홈페이지 주소,주차대수,공-사설 구분,화장로수,식당,매점,주차장,유족대기실,장애인편의시설
서울특별시,서울특별시,서울시립승화원,경기도 고양시 덕양구 통일로 504 서울시립승화원 (대자동 178-1),031-960-0236,031-964-8772,www.sisul.or.kr/memorial,188,공설,23,설치,설치,설치,설치,설치
서울특별시,서울특별시,서울추모공원,서울특별시 서초구 양재대로12길 74 (원지동),02-3498-2581,02-3498-2593,www.sisul.or.kr/memorial,140,공설,11,설치,설치,설치,설치,설치
부산광역시,금정구,부산영락공원,"부산광역시 금정구 금정도서관로 108 (두구동, 영락공원)",051-790-5000,051-508-6024,www.bisco.or.kr/yeongnakpark/index.asp,200,공설,15,설치,설치,설치,설치,미설치
대구광역시,대구광역시,대구명복공원,대구광역시 수성구 달구벌대로541길 47 (고모동),053-743-3880,053-742-6679,08.dpfc.or.kr/,,공설,11,설치,설치,설치,설치,미설치
인천광역시,인천광역시,인천가족공원 화장시설,인천광역시 부평구 평온로 61 (부평동),032-456-2320,032-456-2324,www.insiseol.or.kr/life/family,203,공설,20,설치,설치,설치,설치,설치
광주광역시,광주광역시,광주영락공원,광주광역시 북구 영락공원로 170 (효령동),062-572-4384,062-572-1702,www.cyberyoungrak.or.kr/main/,755,공설,11,설치,설치,설치,설치,미설치
대전광역시,대전광역시,대전시정수원,대전광역시 서구 계백로1249번길 174-82 (정림동),042-610-2300,042-610-2399,www.djsiseol.or.kr/portal/sub040201_02.asp,100,공설,10,설치,설치,설치,설치,설치
울산광역시,울산광역시,울산하늘공원,울산 울주군 삼동면 보삼길 550                               ,052-255-3800,052-255-3809,www.uic.or.kr/skypark/,419,공설,10,설치,설치,설치,설치,설치
세종특별자치시,세종특별자치시,은하수공원 해님의집(화장장),"세종특별자치시 정안세종로 1527 (산울동, 은하수공원)",044-850-1330,044-863-0761,www.sjfmc.or.kr/eunhasu.do,224,공설,10,설치,설치,설치,설치,설치
경기도,성남시,성남시장례문화사업소,경기 성남시 중원구 순암로 787 (갈현동112),031-754-2268,031-721-4357,www.seongnam.go.kr/city/1001267/10852/contents.do,0,공설,15,설치,설치,설치,설치,미설치
경기도,수원시영통구,수원시연화장 승화원,"경기도 수원시 영통구 광교호수로 278 (하동, 수원시연화장)",031-218-6500,031-240-2819,www.suwonudc.co.kr/suwonyhj,400,공설,9,미설치,미설치,설치,설치,설치
경기도,용인시,용인 평온의 숲(나래원),"경기도 용인시 처인구 이동읍 평온의숲로 77 (어비리, 용인평온의숲)",031-329-5900,031-329-5904,www.tranquil-forest.or.kr,661,공설,12,설치,설치,설치,설치,설치
경기도,화성시,화성함백산추모공원(화장),"경기도 화성시 매송면 서해로 2448-32, 화성 함백산추모공원 ",031-240-9200,031-240-9277,www.hsuco.or.kr/hambaeksan,100,공설,13,설치,설치,설치,설치,미설치
강원특별자치도,강릉시,솔향하늘길,강원도 강릉시 사천면 청솔공원길 292-55 (석교리),033-660-3857,033-640-4758,www.gn.go.kr/www/contents.do?key=404,20,공설,6,설치,설치,설치,설치,미설치
강원특별자치도,동해시,동해삼척 공동화장장(승화원),강원도 동해시 강원남부로 4589 (단봉동),033-522-1451,033-530-2735,www.dh.go.kr/www/contents.do?key=740,10,공설,3,미설치,미설치,설치,미설치,미설치
강원특별자치도,속초시,속초시승화원,강원도 속초시 이목로 194 (노학동),033-635-7023,033-635-5023,www.sokchosiseol.or.kr/biz/welfare.do,10,공설,3,설치,설치,설치,설치,미설치
강원특별자치도,원주시,원주추모공원 화장장,강원도 원주시 흥업면 복술길 33 (사제리),033-749-4870,033-746-4017,wfmc.wonju.go.kr/sports/contents.do?key=4904&,70,공설,7,설치,설치,설치,설치,미설치
강원특별자치도,인제군,인제 하늘내린도리안,"강원도 인제군 남면 자작나무숲길 444-62 (남전리, 하늘내린도리안공원)",033-462-6989,033-460-2058,www.inje.go.kr/portal/field-info/welfare,0,공설,3,설치,설치,설치,설치,미설치
강원특별자치도,정선군,정선하늘터,강원도 정선군 사북읍 소금강로 3500-34 (사북리),033-560-3460,033-592-2847,www.jsimc.or.kr/layout/basic/page/page2/page06.html,16,공설,2,설치,미설치,설치,설치,미설치
강원특별자치도,춘천시,춘천안식원,강원도 춘천시 동산면 종자리로 331-21 (군자리),033-261-7314,033-261-7315,ccansikwon.co.kr,88,공설,7,설치,설치,설치,설치,설치
