읍면동코드,시도,객체시군구코드,시군구,읍면동명,중심점_longitude,중심점_latitude,순위,시설명,시설_시도,시설_시군구,시설_longitude,시설_latitude,직선거리_km
11110148,서울특별시,11110,종로구,계동,126.98692783,37.58235148,1,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,15.63
11110148,서울특별시,11110,종로구,계동,126.98692783,37.58235148,2,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,16.39
11110148,서울특별시,11110,종로구,계동,126.98692783,37.58235148,3,성남시장례문화사업소,경기도,성남시,127.17523286,37.42243387,24.33
42130350,강원특별자치도,42130,원주시,부론면,127.78883447,37.20537459,1,원주추모공원 화장장,강원특별자치도,원주시,127.89664513,37.28601493,13.09
42130350,강원특별자치도,42130,원주시,부론면,127.78883447,37.20537459,2,충주시시설관리공단,충청북도,충주시,127.99828728,36.96260064,32.77
42130350,강원특별자치도,42130,원주시,부론면,127.78883447,37.20537459,3,제천시영원한쉼터,충청북도,제천시,128.24442049,37.20219136,40.35
42130390,강원특별자치도,42130,원주시,신림면,128.10710387,37.24947251,1,제천시영원한쉼터,충청북도,제천시,128.24442049,37.20219136,13.25
42130390,강원특별자치도,42130,원주시,신림면,128.10710387,37.24947251,2,원주추모공원 화장장,강원특별자치도,원주시,127.89664513,37.28601493,19.06
42130390,강원특별자치도,42130,원주시,신림면,128.10710387,37.24947251,3,충주시시설관리공단,충청북도,충주시,127.99828728,36.96260064,33.33
42130250,강원특별자치도,42130,원주시,문막읍,127.81640524,37.29142886,1,원주추모공원 화장장,강원특별자치도,원주시,127.89664513,37.28601493,7.12
42130250,강원특별자치도,42130,원주시,문막읍,127.81640524,37.29142886,2,제천시영원한쉼터,충청북도,제천시,128.24442049,37.20219136,39.16
42130250,강원특별자치도,42130,원주시,문막읍,127.81640524,37.29142886,3,충주시시설관리공단,충청북도,충주시,127.99828728,36.96260064,39.96
42130113,강원특별자치도,42130,원주시,봉산동,127.97821679,37.35613726,1,원주추모공원 화장장,강원특별자치도,원주시,127.89664513,37.28601493,10.62
42130113,강원특별자치도,42130,원주시,봉산동,127.97821679,37.35613726,2,제천시영원한쉼터,충청북도,제천시,128.24442049,37.20219136,29.12
42130113,강원특별자치도,42130,원주시,봉산동,127.97821679,37.35613726,3,충주시시설관리공단,충청북도,충주시,127.99828728,36.96260064,43.80
42130320,강원특별자치도,42130,원주시,호저면,127.91095030,37.42888306,1,원주추모공원 화장장,강원특별자치도,원주시,127.89664513,37.28601493,15.94
42130320,강원특별자치도,42130,원주시,호저면,127.91095030,37.42888306,2,제천시영원한쉼터,충청북도,제천시,128.24442049,37.20219136,38.80
42130320,강원특별자치도,42130,원주시,호저면,127.91095030,37.42888306,3,춘천안식원,강원특별자치도,춘천시,127.78242292,37.77292368,39.90
